class;cap-diameter;cap-shape;cap-surface;cap-color;does-bruise-or-bleed;gill-attachment;gill-spacing;gill-color;stem-height;stem-width;stem-root;stem-surface;stem-color;veil-type;veil-color;has-ring;ring-type;spore-print-color;habitat;season
p;4.15;f;d;n;f;x;c;y;4.65;3.44;b;s;n;p;w;f;f;b;l;u
e;2.82;s;l;n;f;f;f;f;5.67;6.57;u;l;o;p;y;f;f;b;d;a
e;0.91;c;g;n;t;a;c;p;5.22;0.98;u;g;n;p;o;f;f;u;h;u
p;4.42;x;s;e;f;x;c;w;4.82;6.87;e;y;w;f;f;f;f;r;d;a
e;5.76;x;t;n;f;a;d;n;6.34;4.7;s;t;g;p;y;t;l;w;d;a
e;10.69;x;s;y;f;d;d;w;11.02;18.35;u;i;n;p;w;t;s;w;d;w
e;6.43;x;l;w;f;d;c;w;3.63;9.98;b;d;w;u;w;f;f;e;d;a
e;1.35;c;g;n;f;a;c;g;4.83;1.24;e;y;g;p;l;f;f;w;d;a
e;2.63;x;s;w;f;d;d;w;3.19;5.33;c;h;w;f;f;f;f;w;g;a
p;5.63;p;y;g;f;x;c;g;8.65;12.49;z;s;w;p;w;t;z;u;g;u
e;7.73;f;g;n;f;s;c;n;9.06;12.29;c;t;n;u;o;f;f;u;d;a
e;4.93;x;y;w;f;x;c;u;7.09;4.65;e;d;w;u;w;f;f;e;d;u
p;3.32;f;d;n;f;x;c;w;4.95;2.99;b;s;n;u;f;f;f;b;d;u
p;1.53;b;h;n;f;a;c;n;4.64;1.36;s;t;n;p;w;f;f;w;d;u
e;3.74;f;s;w;f;d;d;w;3.9;5.88;c;d;w;f;f;f;f;w;g;a
e;7.5;s;d;y;f;a;c;w;6.3;14.49;s;s;w;f;f;f;f;p;d;u
p;3.02;b;w;y;f;a;c;y;4.98;6.94;b;t;r;u;b;f;f;y;m;u
p;11.91;x;k;n;t;p;c;o;9.83;29.44;c;d;y;p;y;f;f;p;d;a
p;5.14;x;k;n;f;d;c;n;4.97;5.77;b;i;y;p;w;t;l;y;d;u
p;4.45;o;s;y;f;f;f;f;0.0;0.0;f;f;f;p;b;t;f;r;d;w
e;6.39;x;y;n;f;e;c;p;5.44;9.94;c;y;n;f;f;f;f;p;d;u
e;6.8;x;h;g;t;p;d;g;10.92;24.15;e;y;w;u;w;f;f;e;d;u
p;3.92;f;d;b;f;x;c;w;5.43;3.33;b;i;n;p;w;f;f;b;l;u
p;7.53;x;y;w;t;d;c;g;8.37;14.42;s;i;w;p;w;t;l;e;g;u
p;0.65;x;g;y;f;a;c;y;3.45;0.71;b;g;w;f;f;f;f;g;d;u
p;5.94;s;d;o;f;d;c;y;3.86;7.07;b;g;o;p;w;f;f;p;d;a
e;3.14;x;s;o;f;a;c;o;4.8;7.12;e;y;o;f;f;f;f;w;g;u
p;15.21;s;s;n;f;d;c;y;5.28;29.82;s;k;n;u;e;f;f;e;d;a
p;8.18;p;y;n;f;d;c;p;16.46;18.36;s;s;w;u;w;f;f;e;d;a
e;0.81;f;g;e;t;a;c;w;5.13;0.9;u;s;n;p;o;f;f;p;d;u
e;9.97;x;t;n;t;p;d;y;7.92;22.07;e;s;n;u;y;f;f;e;d;a
p;1.52;x;g;y;f;d;d;n;2.37;2.52;b;s;n;u;f;f;f;b;d;a
e;9.95;f;s;w;f;e;c;k;13.74;12.05;s;s;w;u;w;t;e;o;d;w
p;4.23;x;y;l;f;s;c;n;5.24;5.98;s;y;l;p;o;t;e;k;d;a
e;8.17;f;l;n;f;s;c;p;7.52;20.47;b;g;u;u;o;f;f;w;d;w
p;11.83;f;d;g;f;e;c;w;10.8;14.34;b;g;w;u;w;t;r;e;d;a
e;9.06;f;s;w;f;s;c;w;7.03;35.75;c;g;w;f;f;f;f;e;m;s
p;3.71;o;l;g;f;f;f;f;0.0;0.0;f;f;f;p;b;f;f;u;d;u
e;1.9;s;y;n;f;a;d;p;5.66;3.06;c;i;n;f;f;f;f;p;l;u
p;7.09;o;k;o;f;d;c;o;1.49;13.71;z;y;y;p;y;f;f;p;d;w
e;3.98;x;d;y;f;a;c;o;3.91;10.24;u;g;w;f;f;f;f;y;d;u
p;3.23;x;d;w;f;a;d;w;4.54;2.75;u;h;w;f;f;f;f;u;g;a
p;3.26;f;d;n;f;x;c;y;4.37;2.92;b;i;n;p;w;f;f;g;l;u
p;6.58;f;y;g;f;d;c;w;5.61;11.24;b;h;n;u;e;f;f;u;l;w
e;12.33;x;s;y;f;a;d;w;9.21;18.23;c;i;n;p;o;t;e;w;d;w
p;1.32;x;d;n;f;a;c;k;5.19;2.43;s;s;n;u;w;f;f;k;g;a
e;10.26;x;s;n;f;e;c;p;7.92;10.63;b;i;w;p;w;f;f;p;d;a
e;4.35;x;s;n;f;x;c;w;7.92;7.08;b;y;n;p;w;t;l;e;g;s
p;5.76;x;i;y;f;a;c;n;7.42;7.25;u;i;n;p;k;t;z;k;d;a
p;1.82;f;t;r;f;a;c;r;4.27;4.01;s;t;r;u;n;f;f;w;m;a
p;4.2;b;t;n;f;a;c;k;12.03;7.06;b;k;w;p;l;t;r;k;g;u
e;7.36;x;d;p;f;x;c;w;7.85;17.72;c;s;w;f;f;f;f;w;d;a
p;3.35;b;s;y;f;d;c;y;7.08;6.64;b;y;y;u;w;t;z;r;d;w
e;9.31;x;y;y;f;d;c;w;7.24;26.3;b;h;n;u;w;t;e;e;d;w
p;9.28;s;t;p;t;d;c;p;7.55;12.54;b;l;p;u;e;t;f;u;d;a
p;3.01;x;i;e;f;x;c;e;4.77;4.94;e;g;e;p;y;f;f;n;d;a
e;3.46;b;g;n;f;x;d;w;4.94;2.88;u;d;y;p;w;f;f;n;g;u
e;10.05;x;y;n;t;e;c;p;8.98;18.08;s;y;w;u;w;t;l;u;d;a
e;6.39;f;y;w;f;e;c;n;5.5;12.8;b;y;w;p;w;t;e;o;g;a
p;13.64;f;h;e;f;e;c;w;16.64;17.59;s;y;w;u;w;t;p;w;d;u
e;4.56;x;h;n;f;x;c;n;5.77;5.87;b;s;n;p;e;t;r;n;d;w
p;3.15;x;d;w;f;a;d;p;4.01;2.67;e;h;w;f;f;f;f;p;g;u
p;2.79;s;s;w;f;d;c;w;3.26;7.3;b;y;w;u;e;f;f;e;g;a
p;6.85;x;d;n;f;d;c;y;5.99;7.28;b;i;y;u;w;t;r;u;d;u
p;6.27;f;d;n;t;d;c;w;6.79;9.52;b;y;n;u;p;f;f;e;d;u
p;4.59;x;s;y;f;a;c;y;6.22;7.96;u;g;o;f;f;f;f;w;g;u
p;6.79;p;s;n;f;p;c;w;10.0;27.86;c;y;n;f;f;f;f;p;d;a
e;7.36;f;d;n;t;d;c;w;10.33;15.01;b;w;w;u;w;t;r;p;d;u
p;3.43;o;s;o;f;f;f;f;0.0;0.0;f;f;f;p;b;t;f;r;d;s
e;8.38;f;e;b;f;x;c;b;4.66;20.05;s;s;w;p;f;t;f;n;d;a
p;7.36;x;d;n;f;d;c;n;5.48;6.76;b;i;n;p;e;t;l;y;d;a
e;4.46;x;s;o;f;p;c;n;5.35;11.54;c;y;n;u;f;f;f;w;d;u
e;8.78;f;h;n;f;s;c;g;7.57;21.02;b;g;u;p;r;f;f;p;g;a
p;2.59;b;g;n;f;x;c;n;6.91;3.33;s;s;n;p;w;f;f;n;m;u
p;2.59;x;y;o;f;d;c;y;2.46;4.97;c;l;o;u;f;f;f;u;h;a
e;2.97;f;y;n;f;d;d;p;6.03;3.01;c;i;n;f;f;f;f;w;h;u
p;3.52;s;w;u;f;a;c;g;5.78;5.17;s;s;u;u;e;f;f;k;l;a
p;2.46;f;w;o;t;d;c;n;2.62;5.25;b;d;n;p;y;f;f;p;d;u
e;1.08;f;g;n;t;a;c;p;4.94;0.93;u;s;n;p;o;f;f;u;h;u
p;3.59;f;s;o;f;d;c;o;3.84;6.85;c;d;o;f;f;f;f;u;m;a
e;3.58;f;t;n;f;d;d;o;5.96;6.8;c;t;o;u;f;f;f;e;d;a
p;4.12;f;h;u;f;a;c;w;3.74;6.56;b;s;w;u;e;f;f;w;d;a
e;14.18;x;e;n;t;e;c;w;8.99;17.39;b;g;w;u;w;t;l;e;d;a
p;16.66;f;d;n;f;d;c;y;5.3;31.79;b;k;k;p;e;f;f;g;d;u
p;6.7;f;t;r;t;d;c;n;4.18;10.64;b;h;n;u;e;f;f;e;h;a
p;8.87;x;l;u;t;x;c;n;9.21;19.63;s;s;g;p;u;f;f;n;d;a
p;5.58;x;h;o;f;a;c;n;4.66;6.22;s;y;n;p;l;t;z;k;d;w
e;7.82;x;s;k;f;a;c;w;4.81;14.74;b;i;w;u;u;f;f;e;d;u
p;9.66;x;e;o;f;a;c;o;9.99;17.97;r;y;o;p;w;t;r;n;d;w
p;6.22;x;h;e;f;x;c;w;14.8;7.12;r;g;n;p;l;f;f;g;d;u
e;6.11;f;d;g;f;s;c;b;5.47;15.3;s;y;b;p;l;f;f;p;d;a
e;6.57;b;h;k;f;s;d;g;5.33;10.41;c;s;g;f;f;f;f;e;d;u
p;5.67;b;s;k;f;e;c;g;6.76;7.21;u;y;y;f;f;f;f;p;m;a
e;6.38;x;h;y;t;x;c;y;7.49;14.85;b;h;w;u;w;f;f;w;d;u
e;7.77;x;d;g;f;a;c;w;7.71;14.54;u;d;w;u;k;f;f;w;g;u
p;4.12;f;d;y;f;s;d;y;5.0;13.17;z;i;y;f;f;f;f;e;d;a
p;9.35;f;s;n;f;x;c;w;10.06;12.0;r;i;w;p;y;f;f;g;d;a
e;6.85;s;l;w;f;d;c;p;3.47;7.19;b;d;w;p;e;f;f;b;g;a
p;3.65;b;t;n;f;x;c;k;9.44;4.95;s;y;w;p;l;t;e;k;g;u
e;8.54;f;e;b;f;x;c;b;4.83;20.65;b;s;w;p;e;t;f;n;d;a
p;2.15;c;y;u;f;a;c;w;3.76;3.49;c;i;w;f;k;f;f;w;d;u
p;14.63;f;h;o;f;e;c;w;16.62;15.93;s;y;w;u;w;t;p;w;d;w
p;11.69;f;g;e;f;e;c;w;17.18;17.11;s;y;w;u;w;t;p;e;d;a
e;4.99;x;h;n;f;x;c;w;6.57;4.08;s;s;w;p;o;f;f;n;d;a
e;3.36;x;k;n;f;p;c;n;4.14;9.78;s;d;n;u;f;f;f;n;d;a
p;3.66;b;y;n;f;x;c;u;6.81;4.62;s;s;w;u;w;f;f;y;d;a
e;4.83;o;h;n;f;f;f;f;5.85;22.18;s;g;n;p;y;f;f;b;l;s
p;6.89;x;h;r;f;d;c;w;10.83;16.98;b;g;w;u;w;t;r;w;d;a
p;4.74;x;t;n;f;a;c;n;5.26;7.13;s;y;n;p;l;t;z;k;d;a
e;7.16;x;h;y;t;x;c;y;6.91;13.92;b;h;w;u;e;f;f;w;d;a
p;3.79;o;d;w;f;f;f;f;5.53;29.34;c;g;w;p;y;t;f;b;p;u
p;9.26;b;t;w;f;e;c;w;12.27;12.72;b;y;w;u;w;t;l;u;d;u
e;10.34;x;s;n;f;e;c;p;8.84;11.07;b;i;n;p;w;f;f;p;d;a
e;5.85;s;d;n;f;d;c;w;4.71;8.13;b;s;w;u;e;f;f;w;h;a
e;10.55;x;s;n;f;x;c;n;7.61;28.2;c;y;n;f;f;f;f;b;d;a
e;1.29;x;w;g;f;x;d;g;4.68;2.41;s;d;w;u;e;f;f;y;d;u
p;21.72;x;s;n;f;p;c;y;4.79;34.71;c;i;n;f;f;f;f;u;d;a
p;9.86;f;h;r;f;d;c;w;11.06;15.48;b;i;w;u;w;t;p;w;d;a
p;3.49;b;y;n;f;x;c;w;5.99;4.43;s;s;w;p;p;f;f;n;d;a
p;1.53;b;g;n;f;a;c;g;4.93;2.08;s;s;g;u;w;f;f;k;d;u
e;3.05;x;s;o;f;a;c;o;4.42;6.75;c;l;o;f;f;f;f;w;m;u
e;10.34;x;i;n;t;e;c;p;9.58;18.16;b;y;w;u;w;t;l;r;d;a
p;3.98;x;y;y;f;a;c;w;6.69;3.74;s;y;n;p;k;t;r;e;g;a
p;8.62;x;y;w;t;d;c;p;8.04;14.57;s;y;w;p;w;t;l;w;d;u
e;4.44;x;t;n;f;p;c;n;5.15;12.62;s;y;n;u;p;f;f;l;d;a
p;6.02;s;d;o;f;d;c;o;3.9;6.82;u;g;y;u;y;f;f;w;d;a
e;2.77;x;d;n;f;p;c;n;4.4;10.12;c;g;n;u;f;f;f;w;d;a
p;2.74;f;w;n;t;d;c;n;3.17;5.9;b;k;n;u;l;f;f;y;d;a
e;3.99;o;k;n;f;f;f;f;3.43;14.59;s;g;n;p;l;f;f;p;d;s
p;2.45;x;g;n;f;a;c;p;8.23;2.56;s;y;n;u;k;f;f;y;d;a
e;9.52;x;h;n;t;p;c;n;8.05;16.79;c;y;n;p;w;t;p;l;d;u
e;8.91;x;h;p;f;x;c;w;6.8;15.21;u;s;w;f;f;f;f;e;d;u
e;9.34;x;s;n;f;e;c;p;7.0;10.33;b;i;w;p;w;f;f;p;d;u
p;7.06;x;g;n;f;e;c;w;8.13;14.14;s;y;w;u;w;t;p;e;d;u
e;46.81;o;y;y;f;p;c;y;5.26;32.88;s;k;n;u;k;f;f;w;d;s
e;6.05;x;s;u;f;a;c;w;4.18;12.14;c;s;w;f;f;f;f;w;d;u
e;10.34;x;y;n;t;d;c;w;11.64;17.94;b;w;w;u;w;t;r;u;d;u
e;4.18;x;s;w;f;d;d;w;3.22;6.64;u;d;w;f;f;f;f;w;m;w
p;14.86;s;d;n;f;d;c;y;5.41;32.67;s;k;n;u;e;f;f;e;d;u
e;10.11;x;s;y;f;d;d;w;8.45;14.99;c;i;n;p;f;t;r;w;d;u
p;1.07;b;t;y;f;a;c;k;3.73;2.73;b;k;n;p;e;t;f;k;m;u
p;2.26;p;t;n;f;a;c;n;7.01;2.57;s;t;y;p;w;t;e;k;m;s
e;5.85;f;s;n;f;x;c;w;6.76;9.48;b;s;n;p;e;f;f;g;l;w
e;2.71;x;k;n;f;p;c;n;4.27;10.22;b;d;n;u;f;f;f;n;d;a
p;6.29;x;s;n;f;s;c;n;4.99;6.81;b;y;n;p;l;f;f;u;d;a
e;5.38;x;y;n;f;e;c;p;6.97;10.3;c;y;n;f;f;f;f;p;d;a
p;1.44;o;k;n;f;x;c;n;3.17;1.42;b;d;n;u;f;f;f;u;d;s
p;6.83;x;l;u;t;x;c;n;6.37;15.5;s;d;g;p;u;f;f;n;d;a
p;6.8;s;h;g;t;d;c;g;4.48;12.45;b;t;n;u;u;f;f;e;d;u
e;9.75;f;e;b;f;x;c;b;5.02;20.22;b;s;w;u;e;t;f;u;d;a
p;5.85;x;e;e;f;a;c;g;8.25;10.6;s;s;n;u;w;t;z;k;d;a
p;3.21;x;t;n;f;s;c;n;5.77;7.64;s;y;w;p;n;t;z;k;d;a
p;7.22;o;t;y;f;x;c;o;1.25;13.43;b;g;n;p;u;f;f;r;d;w
e;0.89;c;g;e;t;a;c;w;5.09;1.01;c;i;n;p;o;f;f;n;d;u
p;13.3;x;s;n;t;p;c;e;10.68;32.63;c;g;y;p;y;f;f;p;d;a
e;8.17;x;t;n;t;p;c;n;7.21;17.2;b;d;n;p;w;t;p;n;d;a
e;6.15;s;d;n;f;d;c;w;5.35;9.07;b;s;w;p;e;f;f;n;l;u
e;3.57;x;d;n;f;x;c;n;8.03;9.45;b;i;n;p;w;t;l;p;g;s
e;10.7;f;y;e;f;d;c;w;5.65;23.52;b;g;n;p;w;t;e;w;d;a
e;15.04;f;y;w;f;d;c;w;24.1;17.88;s;y;n;u;e;t;m;e;d;u
e;10.74;x;h;y;f;p;c;y;8.03;17.17;s;i;y;p;y;t;r;w;d;u
e;6.03;s;d;y;f;a;c;w;6.54;16.97;c;s;w;f;f;f;f;w;d;a
p;0.75;f;s;o;f;d;c;o;5.24;1.08;u;l;y;p;l;f;f;w;g;u
e;7.54;x;t;n;t;p;d;y;6.11;21.4;e;s;n;u;y;f;f;u;d;a
e;3.24;x;k;n;f;p;c;y;3.83;9.63;s;h;y;f;f;f;f;e;d;a
e;6.82;f;s;u;f;a;c;w;4.27;14.09;b;g;w;u;e;f;f;e;d;u
e;13.89;f;y;n;f;d;c;w;22.0;19.69;s;y;n;p;e;t;m;w;d;u
e;6.87;p;l;n;f;a;c;w;5.63;12.71;u;d;g;f;k;f;f;y;g;u
p;2.61;x;g;n;f;a;c;p;8.37;2.58;s;s;w;u;w;f;f;y;d;u
e;12.52;x;e;l;f;x;c;w;8.1;26.22;c;d;w;f;f;f;f;w;d;u
p;2.15;b;g;y;f;x;c;n;6.41;3.18;e;s;n;p;l;f;f;n;g;s
e;3.97;x;d;y;f;a;c;o;3.47;7.56;e;g;w;f;f;f;f;w;d;u
p;6.5;s;d;e;t;d;c;y;5.49;9.58;b;y;n;u;p;f;f;u;d;u
p;4.86;x;k;e;f;x;c;w;3.05;11.64;b;d;y;u;w;f;f;w;d;a
p;4.83;b;h;n;f;a;c;n;9.92;7.11;s;i;w;p;k;t;l;k;g;u
e;3.53;b;g;n;f;a;d;g;3.53;3.19;e;s;g;u;r;f;f;w;d;u
p;1.58;x;g;n;f;d;d;n;2.57;2.62;s;s;n;u;f;f;f;b;h;a
p;19.1;f;s;o;f;p;c;y;4.72;37.72;c;i;n;u;y;f;f;e;d;a
e;5.34;s;l;n;f;f;f;f;7.0;45.29;s;d;n;p;l;f;f;g;d;w
p;7.82;f;l;y;f;x;c;n;7.21;12.71;b;g;w;p;e;f;f;r;d;a
e;3.4;f;h;n;f;a;c;n;5.87;5.71;e;s;w;u;w;f;f;k;d;a
p;2.93;f;w;n;t;d;c;n;3.63;5.81;b;l;n;u;l;f;f;e;d;a
e;14.46;f;s;n;f;a;d;k;6.82;19.05;b;y;w;u;w;f;f;w;d;u
e;18.36;x;w;n;f;p;c;y;16.12;79.2;b;y;n;p;e;f;f;r;d;a
e;14.8;f;h;w;f;d;c;y;2.62;17.11;u;d;w;f;f;f;f;w;d;w
e;8.15;f;s;u;f;a;c;w;4.62;15.2;b;g;w;u;e;f;f;e;d;u
p;5.75;x;w;p;f;s;c;p;3.79;9.18;b;d;p;p;y;f;f;b;d;w
e;10.8;x;t;y;f;p;c;y;7.64;15.76;e;s;y;p;y;t;r;w;d;u
p;2.11;b;g;n;f;a;c;g;5.28;2.06;s;s;g;u;w;f;f;k;d;a
e;1.15;b;g;g;f;x;c;g;2.44;1.45;c;s;w;p;o;f;f;o;d;a
p;9.54;o;d;e;f;f;f;f;3.58;24.37;s;g;n;p;y;f;f;b;d;u
p;8.0;o;t;o;f;x;c;y;1.76;15.39;z;y;y;u;y;f;f;w;d;a
p;2.66;s;d;w;f;d;d;p;3.46;2.45;u;h;w;p;o;f;f;p;g;a
p;11.03;s;t;p;t;d;c;p;9.36;17.25;b;h;p;u;e;t;f;u;d;u
e;5.09;b;g;g;f;a;d;g;6.97;3.77;s;s;n;u;r;f;f;w;d;s
p;18.74;s;d;n;f;d;c;y;7.14;46.09;u;k;k;f;f;f;f;p;d;u
p;5.79;f;w;p;f;s;c;p;4.0;9.2;b;h;p;p;y;f;f;b;d;a
p;2.47;x;h;n;f;x;c;p;7.55;3.92;c;y;n;p;w;f;f;n;d;a
p;2.94;o;d;k;f;f;f;f;3.36;16.7;s;g;g;p;l;f;f;g;d;a
p;6.78;x;w;p;f;s;c;p;4.86;9.04;b;d;p;p;l;f;f;b;d;w
e;3.46;b;g;n;f;x;d;w;4.52;3.19;c;d;y;f;f;f;f;w;g;u
p;1.27;s;s;y;f;f;f;f;2.73;4.79;b;h;y;f;f;f;f;w;d;a
p;4.48;o;e;r;f;x;c;y;1.21;13.51;z;g;y;p;l;f;f;r;d;w
p;5.04;x;t;n;f;s;c;n;6.47;10.21;s;s;w;p;n;t;z;k;d;u
p;3.9;b;y;n;f;x;c;u;6.59;4.44;s;s;w;u;w;f;f;y;d;a
e;9.99;s;s;u;f;s;c;u;7.47;19.72;b;g;b;p;r;f;f;p;l;a
e;6.43;x;h;w;f;e;c;w;6.15;13.4;b;g;y;u;w;t;r;u;d;u
p;4.03;f;l;y;f;x;d;n;5.74;4.66;e;y;n;p;y;f;f;n;l;a
e;22.32;f;s;n;f;a;d;y;9.77;29.17;b;d;w;u;e;f;f;w;d;u
p;6.86;x;s;n;f;s;c;n;5.18;7.44;b;y;n;p;l;f;f;u;d;a
p;3.34;x;y;n;f;a;c;w;5.07;3.27;s;y;n;p;w;t;r;w;g;u
e;2.78;b;y;n;f;d;c;k;6.74;3.36;s;s;w;u;p;f;f;k;d;u
p;5.69;c;i;y;f;x;c;r;6.35;6.94;u;i;w;p;w;f;f;n;d;a
e;9.53;x;h;n;f;p;d;y;7.5;12.5;u;s;n;f;k;f;f;y;g;a
p;4.69;f;h;g;f;d;c;w;4.43;8.51;b;k;n;u;u;f;f;e;d;a
e;8.2;f;h;g;f;s;c;g;8.05;20.39;b;g;u;p;r;f;f;p;g;w
e;4.74;x;y;n;f;x;c;w;6.26;4.21;u;s;w;f;f;f;f;w;d;u
p;11.06;x;i;n;f;a;c;n;11.06;17.29;s;i;n;u;n;f;f;w;d;a
p;1.66;b;h;n;f;a;c;n;3.67;1.39;s;t;n;p;w;f;f;w;d;u
e;18.22;p;w;n;f;p;c;y;18.08;80.62;b;y;n;p;e;f;f;r;d;a
e;2.75;b;y;n;f;x;c;n;5.66;2.63;c;s;w;f;f;f;f;n;d;a
e;6.73;x;d;n;t;p;d;g;9.36;23.7;e;y;w;p;w;f;f;p;d;a
p;8.73;o;t;o;f;x;c;y;1.4;12.3;z;y;y;p;y;f;f;p;d;a
e;1.08;c;g;n;t;a;c;p;5.46;0.92;u;g;n;p;l;f;f;u;d;u
e;13.65;s;e;n;f;a;c;w;6.18;21.86;s;y;w;p;r;f;f;p;l;w
p;4.38;o;t;w;f;d;c;w;0.0;0.0;f;f;f;p;b;f;f;n;d;u
e;3.58;b;g;n;f;x;d;w;4.58;3.05;c;d;y;f;f;f;f;w;g;u
p;2.48;o;l;g;f;f;f;f;0.0;0.0;f;f;f;p;b;f;f;u;d;a
e;0.85;p;g;w;f;d;c;g;2.29;1.44;s;d;w;u;f;f;f;p;d;w
e;11.93;x;e;y;f;x;c;w;9.49;26.97;c;l;w;f;f;f;f;w;d;u
p;11.89;x;e;o;f;a;c;y;11.97;22.85;r;d;y;p;w;t;r;n;d;u
e;5.72;x;y;n;f;e;c;w;6.01;10.05;c;y;n;f;f;f;f;e;d;a
p;8.09;x;e;o;f;a;c;y;11.94;19.99;r;s;y;p;w;t;r;n;d;w
p;3.59;x;l;n;f;x;c;p;9.51;4.61;u;i;p;u;f;f;f;p;l;a
p;7.28;x;d;n;t;d;c;n;7.9;9.79;b;y;n;p;u;f;f;g;d;a
p;2.22;s;d;w;f;d;d;p;3.85;2.52;u;h;w;p;o;f;f;b;g;u
p;7.57;o;e;n;f;x;c;o;1.4;14.52;u;g;n;u;f;f;f;p;d;a
p;9.4;o;k;n;f;x;c;o;1.59;15.71;s;h;y;p;l;f;f;p;d;a
e;3.48;f;d;u;t;d;c;p;4.1;6.01;b;d;g;u;p;f;f;u;d;a
p;15.57;x;g;e;f;e;c;w;18.24;18.41;s;y;w;u;w;t;p;e;d;a
p;3.69;f;k;n;f;x;c;p;7.72;4.31;b;i;n;p;w;f;f;g;l;u
p;4.48;o;d;w;f;f;f;f;5.66;31.28;c;g;w;p;y;t;f;b;d;u
e;11.29;f;k;g;f;s;c;u;8.0;20.02;s;s;b;f;f;f;f;y;d;w
p;2.01;f;t;n;f;d;c;y;7.04;2.78;e;h;y;u;k;f;f;p;g;a
e;5.7;x;y;n;f;e;c;p;4.89;10.37;c;y;n;f;f;f;f;p;d;u
p;8.02;x;s;n;t;s;d;r;5.16;13.82;r;y;w;u;w;f;f;w;d;u
p;0.82;x;g;e;f;a;c;n;4.95;1.14;e;s;k;u;f;f;f;b;d;a
e;1.99;x;l;b;f;x;d;u;6.11;4.39;c;l;w;f;f;f;f;w;d;u
p;0.82;x;d;o;f;d;c;o;3.88;0.98;u;l;y;p;l;f;f;w;g;u
p;1.59;b;h;n;f;a;c;n;4.5;1.46;u;t;n;p;o;f;f;k;h;u
e;18.84;s;t;k;f;a;d;y;7.31;24.73;b;s;w;u;e;f;f;w;d;u
e;8.82;f;s;u;f;a;c;w;4.67;14.39;b;y;w;u;e;f;f;e;d;u
e;4.09;x;s;y;f;a;c;y;3.88;9.0;u;g;w;f;f;f;f;w;d;u
e;11.77;f;s;w;f;e;c;w;22.16;14.35;b;s;w;u;w;t;e;u;d;s
e;15.14;x;y;n;t;e;c;w;10.22;16.82;s;g;w;u;w;t;r;e;d;u
p;3.01;x;y;y;f;a;c;w;5.72;3.62;s;y;n;p;k;t;r;e;g;a
e;0.98;b;g;w;f;a;c;g;3.29;1.72;e;g;w;f;f;f;f;e;d;u
p;6.91;f;d;n;t;d;c;y;5.22;8.13;s;y;e;u;y;f;f;e;d;u
e;7.48;x;s;n;f;e;c;p;6.0;8.97;b;i;w;p;w;f;f;p;d;a
p;17.19;x;k;w;t;d;d;w;5.7;23.82;c;t;w;u;w;f;f;u;d;u
e;8.72;x;h;y;t;x;c;y;7.74;16.44;s;s;w;p;w;f;f;g;d;u
p;3.52;x;s;y;f;a;c;y;5.52;7.14;u;g;o;u;f;f;f;u;g;a
p;5.54;f;k;n;f;p;d;n;3.82;5.63;s;k;n;p;g;t;f;o;d;u
p;0.89;x;g;w;f;a;d;w;2.74;1.39;b;g;e;p;u;f;f;r;d;u
e;9.54;x;s;u;f;a;c;w;4.7;15.89;b;g;w;u;e;f;f;e;d;a
e;5.3;s;s;y;f;a;c;w;5.29;16.64;b;g;w;u;e;f;f;e;d;u
p;4.27;x;h;o;f;a;c;y;5.88;7.46;e;g;o;f;f;f;f;w;g;u
p;3.53;s;h;u;f;a;c;w;4.68;8.28;b;d;y;u;w;f;f;w;d;u
p;4.93;c;i;y;f;x;c;n;8.07;8.38;u;i;w;p;w;f;f;n;d;a
e;6.3;s;d;n;f;d;c;w;4.02;7.07;b;s;w;u;e;f;f;y;l;a
p;3.52;b;y;n;f;x;c;u;5.53;4.38;s;s;w;u;w;f;f;y;d;u
e;1.7;x;g;n;f;a;c;w;6.26;2.36;c;t;y;f;f;f;f;e;g;a
p;7.89;x;w;p;f;s;c;p;4.12;10.34;b;d;p;p;l;f;f;b;d;w
p;5.46;b;k;n;f;d;c;y;4.89;5.9;b;i;n;u;w;t;z;r;d;a
p;7.79;x;s;n;f;x;c;w;9.99;11.79;r;i;w;p;y;f;f;g;d;u
p;5.76;x;e;e;f;a;c;g;8.84;10.43;s;s;n;u;w;t;z;k;d;a
p;7.47;f;t;y;f;x;c;y;6.59;11.07;b;l;w;u;u;f;f;w;d;a
p;7.5;x;k;y;f;s;d;y;7.32;17.7;u;i;y;u;o;f;f;e;d;a
p;4.63;x;s;y;f;a;c;y;5.85;7.72;u;g;o;f;f;f;f;u;g;a
p;10.83;x;y;o;f;a;c;y;12.2;22.23;r;s;o;p;w;t;r;n;d;u
e;5.71;f;s;b;f;d;d;b;5.35;12.65;u;y;w;u;y;f;f;u;m;a
p;5.4;x;l;e;f;x;c;r;4.42;13.34;u;s;y;f;f;f;f;r;d;a
p;4.21;f;l;e;f;x;d;n;5.49;5.25;b;d;n;p;b;f;f;b;l;a
p;6.69;f;l;y;f;x;c;y;5.69;9.57;u;g;w;f;f;f;f;w;d;a
e;9.67;f;k;n;t;e;c;w;12.23;20.47;b;g;w;u;w;t;r;p;d;u
e;5.98;p;s;w;f;e;c;n;4.36;11.57;b;s;w;p;w;t;e;l;g;a
p;0.61;f;y;o;f;d;c;o;5.3;1.02;u;d;o;p;l;f;f;w;g;u
p;6.6;p;y;w;f;d;c;p;11.1;16.03;s;s;w;u;e;f;f;e;d;a
p;3.58;f;y;e;f;e;c;n;4.13;3.58;u;k;w;p;w;t;e;g;d;a
